TYPE ID
ham ../Data/001/001
spam ../Data/001/002
ham ../Data/001/003
ham ../Data/001/004
spam ../Data/001/005
ham ../Data/001/006
ham ../Data/001/007
ham ../Data/001/008
ham ../Data/001/009
ham ../Data/001/010
ham ../Data/001/011
ham ../Data/001/012
ham ../Data/001/013
spam ../Data/001/014
ham ../Data/001/015
ham ../Data/001/016
ham ../Data/001/017
spam ../Data/001/018
ham ../Data/001/019
spam ../Data/001/020
ham ../Data/001/021
spam ../Data/001/022
spam ../Data/001/023
spam ../Data/001/024
spam ../Data/001/025
spam ../Data/001/026
ham ../Data/001/027
ham ../Data/001/028
ham ../Data/001/029
ham ../Data/001/030
spam ../Data/001/031
spam ../Data/001/032
spam ../Data/001/033
spam ../Data/001/034
spam ../Data/001/035
spam ../Data/001/036
spam ../Data/001/037
ham ../Data/001/038
spam ../Data/001/039
spam ../Data/001/040
spam ../Data/001/041
spam ../Data/001/042
spam ../Data/001/043
spam ../Data/001/044
spam ../Data/001/045
spam ../Data/001/046
spam ../Data/001/047
spam ../Data/001/048
ham ../Data/001/049
spam ../Data/001/050
spam ../Data/001/051
spam ../Data/001/052
ham ../Data/001/053
ham ../Data/001/054
ham ../Data/001/055
spam ../Data/001/056
spam ../Data/001/057
spam ../Data/001/058
spam ../Data/001/059
spam ../Data/001/060
ham ../Data/001/061
ham ../Data/001/062
ham ../Data/001/063
ham ../Data/001/064
spam ../Data/001/065
spam ../Data/001/066
spam ../Data/001/067
ham ../Data/001/068
ham ../Data/001/069
ham ../Data/001/070
ham ../Data/001/071
spam ../Data/001/072
ham ../Data/001/073
ham ../Data/001/074
spam ../Data/001/075
spam ../Data/001/076
spam ../Data/001/077
spam ../Data/001/078
ham ../Data/001/079
ham ../Data/001/080
ham ../Data/001/081
ham ../Data/001/082
spam ../Data/001/083
spam ../Data/001/084
spam ../Data/001/085
spam ../Data/001/086
spam ../Data/001/087
ham ../Data/001/088
ham ../Data/001/089
ham ../Data/001/090
ham ../Data/001/091
ham ../Data/001/092
ham ../Data/001/093
ham ../Data/001/094
ham ../Data/001/095
ham ../Data/001/096
ham ../Data/001/097
spam ../Data/001/098
spam ../Data/001/099
spam ../Data/001/100
spam ../Data/002/001
spam ../Data/002/002
spam ../Data/002/003
spam ../Data/002/004
ham ../Data/002/005
ham ../Data/002/006
spam ../Data/002/007
ham ../Data/002/008
ham ../Data/002/009
ham ../Data/002/010
spam ../Data/002/011
spam ../Data/002/012
spam ../Data/002/013
ham ../Data/002/014
spam ../Data/002/015
ham ../Data/002/016
ham ../Data/002/017
ham ../Data/002/018
ham ../Data/002/019
ham ../Data/002/020
ham ../Data/002/021
ham ../Data/002/022
ham ../Data/002/023
spam ../Data/002/024
ham ../Data/002/025
ham ../Data/002/026
ham ../Data/002/027
ham ../Data/002/028
ham ../Data/002/029
ham ../Data/002/030
ham ../Data/002/031
ham ../Data/002/032
ham ../Data/002/033
spam ../Data/002/034
ham ../Data/002/035
spam ../Data/002/036
ham ../Data/002/037
spam ../Data/002/038
ham ../Data/002/039
spam ../Data/002/040
ham ../Data/002/041
ham ../Data/002/042
spam ../Data/002/043
spam ../Data/002/044
ham ../Data/002/045
ham ../Data/002/046
ham ../Data/002/047
ham ../Data/002/048
spam ../Data/002/049
ham ../Data/002/050
ham ../Data/002/051
ham ../Data/002/052
spam ../Data/002/053
spam ../Data/002/054
spam ../Data/002/055
spam ../Data/002/056
spam ../Data/002/057
spam ../Data/002/058
spam ../Data/002/059
spam ../Data/002/060
spam ../Data/002/061
ham ../Data/002/062
ham ../Data/002/063
ham ../Data/002/064
ham ../Data/002/065
ham ../Data/002/066
spam ../Data/002/067
ham ../Data/002/068
ham ../Data/002/069
spam ../Data/002/070
ham ../Data/002/071
spam ../Data/002/072
ham ../Data/002/073
spam ../Data/002/074
spam ../Data/002/075
ham ../Data/002/076
ham ../Data/002/077
ham ../Data/002/078
ham ../Data/002/079
ham ../Data/002/080
ham ../Data/002/081
ham ../Data/002/082
ham ../Data/002/083
ham ../Data/002/084
ham ../Data/002/085
ham ../Data/002/086
ham ../Data/002/087
ham ../Data/002/088
spam ../Data/002/089
ham ../Data/002/090
ham ../Data/002/091
spam ../Data/002/092
spam ../Data/002/093
ham ../Data/002/094
ham ../Data/002/095
ham ../Data/002/096
ham ../Data/002/097
ham ../Data/002/098
ham ../Data/002/099
ham ../Data/002/100
ham ../Data/003/001
ham ../Data/003/002
spam ../Data/003/003
spam ../Data/003/004
spam ../Data/003/005
ham ../Data/003/006
spam ../Data/003/007
ham ../Data/003/008
ham ../Data/003/009
ham ../Data/003/010
ham ../Data/003/011
ham ../Data/003/012
ham ../Data/003/013
ham ../Data/003/014
ham ../Data/003/015
ham ../Data/003/016
spam ../Data/003/017
spam ../Data/003/018
spam ../Data/003/019
ham ../Data/003/020
ham ../Data/003/021
ham ../Data/003/022
ham ../Data/003/023
ham ../Data/003/024
spam ../Data/003/025
ham ../Data/003/026
spam ../Data/003/027
spam ../Data/003/028
spam ../Data/003/029
ham ../Data/003/030
ham ../Data/003/031
spam ../Data/003/032
spam ../Data/003/033
ham ../Data/003/034
spam ../Data/003/035
ham ../Data/003/036
ham ../Data/003/037
spam ../Data/003/038
ham ../Data/003/039
ham ../Data/003/040
ham ../Data/003/041
ham ../Data/003/042
ham ../Data/003/043
ham ../Data/003/044
spam ../Data/003/045
ham ../Data/003/046
ham ../Data/003/047
ham ../Data/003/048
ham ../Data/003/049
ham ../Data/003/050
ham ../Data/003/051
ham ../Data/003/052
spam ../Data/003/053
ham ../Data/003/054
spam ../Data/003/055
spam ../Data/003/056
spam ../Data/003/057
ham ../Data/003/058
spam ../Data/003/059
ham ../Data/003/060
ham ../Data/003/061
ham ../Data/003/062
ham ../Data/003/063
spam ../Data/003/064
ham ../Data/003/065
spam ../Data/003/066
spam ../Data/003/067
spam ../Data/003/068
spam ../Data/003/069
ham ../Data/003/070
ham ../Data/003/071
ham ../Data/003/072
ham ../Data/003/073
ham ../Data/003/074
spam ../Data/003/075
spam ../Data/003/076
spam ../Data/003/077
spam ../Data/003/078
spam ../Data/003/079
spam ../Data/003/080
ham ../Data/003/081
spam ../Data/003/082
spam ../Data/003/083
spam ../Data/003/084
spam ../Data/003/085
spam ../Data/003/086
spam ../Data/003/087
ham ../Data/003/088
ham ../Data/003/089
spam ../Data/003/090
ham ../Data/003/091
spam ../Data/003/092
spam ../Data/003/093
ham ../Data/003/094
spam ../Data/003/095
spam ../Data/003/096
spam ../Data/003/097
spam ../Data/003/098
ham ../Data/003/099
spam ../Data/003/100
spam ../Data/004/001
spam ../Data/004/002
spam ../Data/004/003
spam ../Data/004/004
ham ../Data/004/005
ham ../Data/004/006
spam ../Data/004/007
spam ../Data/004/008
ham ../Data/004/009
spam ../Data/004/010
ham ../Data/004/011
ham ../Data/004/012
ham ../Data/004/013
spam ../Data/004/014
ham ../Data/004/015
ham ../Data/004/016
spam ../Data/004/017
ham ../Data/004/018
ham ../Data/004/019
ham ../Data/004/020
ham ../Data/004/021
spam ../Data/004/022
ham ../Data/004/023
ham ../Data/004/024
ham ../Data/004/025
ham ../Data/004/026
ham ../Data/004/027
ham ../Data/004/028
ham ../Data/004/029
ham ../Data/004/030
ham ../Data/004/031
ham ../Data/004/032
ham ../Data/004/033
ham ../Data/004/034
ham ../Data/004/035
ham ../Data/004/036
ham ../Data/004/037
ham ../Data/004/038
ham ../Data/004/039
ham ../Data/004/040
ham ../Data/004/041
ham ../Data/004/042
ham ../Data/004/043
ham ../Data/004/044
ham ../Data/004/045
ham ../Data/004/046
spam ../Data/004/047
spam ../Data/004/048
spam ../Data/004/049
spam ../Data/004/050
spam ../Data/004/051
spam ../Data/004/052
spam ../Data/004/053
ham ../Data/004/054
ham ../Data/004/055
ham ../Data/004/056
ham ../Data/004/057
ham ../Data/004/058
ham ../Data/004/059
spam ../Data/004/060
spam ../Data/004/061
spam ../Data/004/062
spam ../Data/004/063
spam ../Data/004/064
spam ../Data/004/065
spam ../Data/004/066
ham ../Data/004/067
spam ../Data/004/068
spam ../Data/004/069
spam ../Data/004/070
spam ../Data/004/071
ham ../Data/004/072
ham ../Data/004/073
ham ../Data/004/074
ham ../Data/004/075
ham ../Data/004/076
spam ../Data/004/077
spam ../Data/004/078
spam ../Data/004/079
spam ../Data/004/080
spam ../Data/004/081
spam ../Data/004/082
ham ../Data/004/083
ham ../Data/004/084
